Merit,Department,HSC Group
10,Dept. of Law,Science
13,Dept. of Law,Humanities
15,Dept. of Law,Humanities
16,Dept. of Law,Humanities
17,Dept. of Law,Humanities
20,Dept. of Law,Humanities
23,Dept. of Law,Humanities
24,Dept. of Law,Humanities
26,Dept. of Law,Humanities
27,Dept. of Law,Humanities
30,Dept. of Law,Humanities
31,Dept. of Law,Science
32,Dept. of Law,Humanities
39,Dept. of Law,Humanities
42,Dept. of Law,Humanities
43,Dept. of Law,Humanities
45,Dept. of Law,Humanities
48,Dept. of Law,Humanities
50,Dept. of Law,Humanities
53,Dept. of Law,Humanities
54,Dept. of Law,Humanities
55,Dept. of Law,Humanities
61,Dept. of Law,Humanities
62,Dept. of Law,Humanities
64,Dept. of Law,Humanities
65,Dept. of Law,Humanities
67,Dept. of Law,Business Studies
68,Dept. of Law,Humanities
71,Dept. of Law,Humanities
72,Dept. of Law,Humanities
73,Dept. of Law,Science
76,Dept. of Law,Humanities
77,Dept. of Law,Humanities
80,Dept. of Law,Humanities
82,Dept. of Law,Humanities
84,Dept. of Law,Science
85,Dept. of Law,Science
86,Dept. of Law,Humanities
91,Dept. of Law,Humanities
92,Dept. of Law,Humanities
93,Dept. of Law,Humanities
95,Dept. of Law,Science
98,Dept. of Law,Humanities
101,Dept. of Law,Humanities
102,Dept. of Law,Science
103,Dept. of Law,Humanities
104,Dept. of Law,Science
105,Dept. of Law,Humanities
106,Dept. of Law,Humanities
107,Dept. of Law,Business Studies
110,Dept. of Law,Humanities
113,Dept. of Law,Humanities
114,Dept. of Law,Humanities
116,Dept. of Law,Business Studies
119,Dept. of Law,Humanities
120,Dept. of Law,Science
126,Dept. of Law,Humanities
131,Dept. of Law,Humanities
133,Dept. of Law,Humanities
134,Dept. of Law,Humanities
135,Dept. of Law,Humanities
140,Dept. of Law,Humanities
141,Dept. of Law,Science
143,Dept. of Law,Humanities
146,Dept. of Law,Humanities
151,Dept. of Law,Humanities
152,Dept. of Law,Humanities
154,Dept. of Law,Humanities
166,Dept. of Law,Humanities
169,Dept. of Law,Business Studies
173,Dept. of Law,Science
174,Dept. of Law,Business Studies
175,Dept. of Law,Science
179,Dept. of Law,Humanities
182,Dept. of Law,Science
184,Dept. of Law,Humanities
186,Dept. of Law,Humanities
188,Dept. of Law,Humanities
189,Dept. of International Relation,Humanities
190,Dept. of Law,Science
191,Dept. of International Relation,Humanities
192,Dept. of Law,Humanities
193,Dept. of Law,Humanities
195,Dept. of Law,Humanities
201,Dept. of Law,Humanities
212,Dept. of Law,Science
214,Dept. of Law,Humanities
217,Dept. of Political Science,Science
221,Dept. of Law,Science
222,Dept. of Law,Humanities
223,Dept. of Law,Science
225,Dept. of Economics,Science
231,Dept. of Law,Humanities
232,Dept. of Law,Humanities
233,Dept. of Law,Humanities
236,Dept. of Economics,Humanities
239,Dept. of Law,Humanities
241,Dept. of Law,Humanities
250,Dept. of Law,Humanities
252,Dept. of Law,Humanities
253,Dept. of Law,Humanities
254,Dept. of Law,Humanities
255,Dept. of Law,Science
256,Dept. of Law,Humanities
257,Dept. of Law,Humanities
258,Dept. of Law,Humanities
259,Dept. of Law,Humanities
262,Dept. of Law,Business Studies
263,Dept. of Law,Humanities
265,Dept. of International Relation,Humanities
280,Dept. of International Relation,Humanities
281,Dept. of Law,Humanities
282,Dept. of Law,Humanities
285,Dept. of Law,Humanities
286,Dept. of Law,Science
289,Dept. of Law,Science
292,Dept. of Political Science,Humanities
297,Dept. of Economics,Humanities
