Merit,Department,HSC Group
2,Dept. of Law,SCIENCE
7,Dept. of Law,HUMANITIES
8,Dept. of Law,HUMANITIES
9,Dept. of Law,HUMANITIES
10,Dept. of Economics,HUMANITIES
12,Dept. of International Relation,BUSINESS
13,Dept. of Law,HUMANITIES
14,Dept. of Economics,SCIENCE
15,Dept. of Law,SCIENCE
16,Dept. of Law,HUMANITIES
17,Dept. of Law,HUMANITIES
18,Dept. of Law,HUMANITIES
19,Dept. of Law,SCIENCE
20,Dept. of Law,HUMANITIES
21,Dept. of Law,BUSINESS
23,Dept. of Law,HUMANITIES
24,Dept. of International Relation,BUSINESS
25,Dept. of Economics,SCIENCE
26,Dept. of Law,SCIENCE
27,Dept. of Law,HUMANITIES
28,Dept. of Law,SCIENCE
29,Dept. of Law,HUMANITIES
30,Dept. of Law,SCIENCE
32,Dept. of Law,SCIENCE
33,Dept. of Law,HUMANITIES
34,Dept. of Law,HUMANITIES
35,Dept. of Law,HUMANITIES
36,Dept. of Law,HUMANITIES
39,Dept. of Law,HUMANITIES
40,Dept. of Law,HUMANITIES
41,Dept. of Law,HUMANITIES
42,Dept. of Economics,SCIENCE
43,Dept. of Law,SCIENCE
44,Dept. of Law,SCIENCE
45,Dept. of Law,SCIENCE
46,Dept. of Law,HUMANITIES
48,Dept. of Law,HUMANITIES
49,Dept. of Law,HUMANITIES
50,Dept. of Law,SCIENCE
51,Dept. of Law,SCIENCE
52,Dept. of Law,HUMANITIES
53,Dept. of Law,HUMANITIES
54,Dept. of Law,HUMANITIES
55,Dept. of Law,SCIENCE
56,Dept. of Economics,SCIENCE
57,Dept. of Law,HUMANITIES
58,Dept. of Law,HUMANITIES
59,Dept. of Economics,HUMANITIES
60,Dept. of Law,HUMANITIES
62,Dept. of Law,SCIENCE
63,Dept. of Law,HUMANITIES
64,Dept. of Economics,SCIENCE
65,Dept. of Law,BUSINESS
67,Dept. of Law,SCIENCE
69,Dept. of Law,HUMANITIES
72,Dept. of Law,SCIENCE
73,Dept. of Law,SCIENCE
74,Dept. of Law,HUMANITIES
75,Dept. of Law,HUMANITIES
76,Dept. of Law,HUMANITIES
77,Dept. of Law,HUMANITIES
78,Dept. of Law,HUMANITIES
79,Dept. of Law,BUSINESS
81,Dept. of Law,HUMANITIES
82,Dept. of Law,SCIENCE
83,Dept. of Law,SCIENCE
84,Dept. of Law,SCIENCE
85,Dept. of Law,SCIENCE
86,Dept. of Law,HUMANITIES
88,Dept. of Law,SCIENCE
89,Dept. of Law,SCIENCE
90,Dept. of Public Administration,SCIENCE
91,Dept. of Law,SCIENCE
92,Dept. of Law,SCIENCE
93,Dept. of Law,BUSINESS
96,Dept. of Law,SCIENCE
97,Dept. of Law,HUMANITIES
98,Dept. of Economics,HUMANITIES
99,Dept. of Law,BUSINESS
100,Dept. of Law,SCIENCE
101,Dept. of Law,HUMANITIES
102,Dept. of Law,HUMANITIES
103,Dept. of Law,SCIENCE
105,Dept. of Law,HUMANITIES
106,Dept. of Law,SCIENCE
107,Dept. of Economics,HUMANITIES
108,Dept. of Law,HUMANITIES
110,Dept. of Law,HUMANITIES
111,Dept. of Law,HUMANITIES
112,Dept. of Law,HUMANITIES
113,Dept. of Finance,SCIENCE
114,Dept. of Law,SCIENCE
115,Dept. of Law,HUMANITIES
116,Dept. of Law,SCIENCE
117,Dept. of Law,HUMANITIES
118,Dept. of Law,HUMANITIES
119,Dept. of Law,SCIENCE
121,Dept. of Law,SCIENCE
122,Dept. of Law,SCIENCE
123,Dept. of Law,HUMANITIES
124,Dept. of Law,HUMANITIES
125,Dept. of Economics,SCIENCE
126,Dept. of Law,SCIENCE
127,Dept. of Law,SCIENCE
129,Dept. of Law,HUMANITIES
130,Dept. of Law,HUMANITIES
131,Dept. of International Relation,HUMANITIES
132,Dept. of Political Science,SCIENCE
134,Dept. of Law,HUMANITIES
135,Dept. of Law,HUMANITIES
136,Dept. of Law,HUMANITIES
137,Dept. of Law,HUMANITIES
138,Dept. of Law,HUMANITIES
139,Dept. of Law,SCIENCE
140,Dept. of Law,SCIENCE
142,Dept. of Law,BUSINESS
143,Dept. of Law,HUMANITIES
144,Dept. of Law,HUMANITIES
145,Dept. of International Relation,HUMANITIES
146,Dept. of Law,SCIENCE
147,Dept. of Law,SCIENCE
148,Dept. of Law,SCIENCE
150,Dept. of Law,SCIENCE
151,Dept. of Law,HUMANITIES
152,Dept. of Law,SCIENCE
153,Dept. of Law,HUMANITIES
154,Dept. of Law,HUMANITIES
155,Dept. of Law,HUMANITIES
156,Dept. of Law,HUMANITIES
157,Dept. of Law,HUMANITIES
158,Dept. of Law,SCIENCE
159,Dept. of Law,SCIENCE
160,Dept. of Economics,HUMANITIES
161,Dept. of Economics,SCIENCE
162,Dept. of Economics,SCIENCE
164,Dept. of International Relation,SCIENCE
165,Dept. of Economics,SCIENCE
166,Dept. of Economics,SCIENCE
167,Dept. of Economics,SCIENCE
168,Dept. of Economics,SCIENCE
169,Dept. of Economics,SCIENCE
170,Dept. of Economics,HUMANITIES
174,Dept. of Economics,SCIENCE
175,Dept. of Economics,SCIENCE
176,Dept. of Economics,SCIENCE
178,Dept. of Political Science,SCIENCE
179,Dept. of Economics,SCIENCE
180,Dept. of Economics,HUMANITIES
181,Dept. of International Relation,HUMANITIES
182,Dept. of Economics,HUMANITIES
183,Dept. of Economics,HUMANITIES
184,Dept. of International Relation,SCIENCE
185,Dept. of International Relation,SCIENCE
187,Dept. of Economics,SCIENCE
188,Dept. of Economics,HUMANITIES
189,Dept. of Political Science,HUMANITIES
190,Dept. of International Relation,HUMANITIES
191,Dept. of Economics,HUMANITIES
192,Dept. of Economics,HUMANITIES
193,Dept. of Finance,SCIENCE
195,Dept. of Accounting,SCIENCE
196,Dept. of International Relation,SCIENCE
197,Dept. of Economics,SCIENCE
199,Dept. of Economics,HUMANITIES
200,Dept. of International Relation,SCIENCE
201,Dept. of Economics,SCIENCE
202,Dept. of Economics,SCIENCE
203,Dept. of Economics,BUSINESS
204,Dept. of Economics,SCIENCE
205,Dept. of International Relation,HUMANITIES
207,Dept. of Economics,HUMANITIES
208,Dept. of International Relation,HUMANITIES
210,Dept. of Economics,SCIENCE
212,Dept. of Economics,SCIENCE
213,Dept. of Economics,SCIENCE
214,Dept. of Economics,SCIENCE
215,Dept. of Economics,HUMANITIES
216,Dept. of Economics,HUMANITIES
217,Dept. of Economics,BUSINESS
218,Dept. of Political Science,HUMANITIES
221,Dept. of Economics,SCIENCE
